former_outbreak_code,country,ADM1,ADM2,ADM3,ADM4,city_village,GPS_x,GPS_y,exact_location,includes_health_facility_sampling,start_date,end_date,outbreak_year,outbreak_month,human_cases,livestock_cases,outbreak_type,n_human_cases,n_livestock_cases,n_total_cases,ref_name,ref_DOI_URL,WAHIS_ref_number,notes,exclude,exclude_reason
37,Kenya,Mandera County,Mandera North Subcounty,Rhamu-Dimtu Ward,,Yabicho,41.09124,3.821088,1,0,2021-01-22,2021-03-18,2021,January,1,1,HU_LS,2,2,4,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000146374,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311) where the human portion of this outbreak is described from Kalmalab in Mandera North Subcounty ,,
38,Kenya,Murang'a County,Gatanga Subcounty,Kihumbu-Ini Ward,,Kihumbu-Ini,36.98083414,-0.93262002,1,0,2020-12-29,2021-03-18,2020,December,0,1,LS,,,,WHO,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311,,Total livestock case count unclear,,
39,Kenya,Murang'a County,Kandara Subcounty,Ng'Araria Ward,,Ngararia,37.019834,-0.934632,1,0,2021-01-19,2021-03-18,2021,January,0,1,LS,,6,6,WAHIS,https://wahis.woah.org/#/in-event/3491/dashboard,1000145035,Additional information derived from WHO report (https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311),,
40,Kenya,Kiambu County,Kikuyu Subcounty,,,Kikuyu,36.6601,-1.2396,1,0,2021-06-14,2021-08-20,2021,June,0,1,LS,,5,5,WAHIS,https://wahis.woah.org/#/in-event/3841/dashboard,ob_87960,I believe this same outbreak event is captured in Juma et al. 2022 (https://doi.org/10.1186/s12864-022-08764-6) which describes 5 IgM-positive cattle sampled in Kiambu county in July 2021; So at least 5 positive animals were involved in the outbreak event in this area,,
,Kenya,Wajir County,Eldas Subcounty,,,,,,0,0,2021-07-01,2021-08-31,2021,July,0,1,LS,,1,1,Omani_etal_2024,https://doi.org/10.1016/j.onehlt.2024.100921,,"Although the sampling started in June 2021, discussion of the single IgM-positive animal mentions July 2021 as the ""time of sampling"", hence the coding of the outbreak start date",,
,Kenya,Isiolo County,Isiolo South Subcounty,,,,,,0,0,2021-07-01,2021-08-31,2021,July,0,1,LS,,4,4,Muturi_etal_2023,https://doi.org/10.1038/s41598-023-42596-y,,,,
41,Kenya,Nyandarua County,,,,,,,0,0,2020-10-01,,2020,October,0,1,LS,,3,3,Wanjama_etal_2022,https://www.researchgate.net/profile/James-Kabugu/publication/366836264_Sero-epidemiological_survey_of_Rift_Valley_Fever_virus_in_ruminants_in_Nyandarua_County_Kenya/links/63b435a8a03100368a4df2e1/Sero-epidemiological-survey-of-Rift-Valley-Fever-virus-in-ruminants-in-Nyandarua-County-Kenya.pdf,,Outbreak timing coded as occurring between the two sampling events; Not clear when the IgM-positive animals were sampled,,
,Uganda,Northern Region,Kitgum District,,,,,,0,0,2010-12-01,,2010,December,0,1,LS,,1,1,Ndumu_etal_2021,https://doi.org/10.1186/s12917-021-02867-0,,Some ambiguity in the manuscript about whether the samples were collected starting in November 2010 or December 2010,,
42,Uganda,Western Region,Kabale District,,Kamuganguzi Subcounty,Omururinda,29.9924701,-1.3299139,1,0,2016-02-10,,2016,February,1,1,HU_LS,1,1,2,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,1000070693,"Captures acute case 2 (AC2) and the single confirmed livestock case; Livestock case is also attested to by a WAHIS event (https://wahis.woah.org/#/in-event/1922/dashboard) where the village is referred to as Kashenyi, immediately adjacent to Omururinda; Note that the coordinates for Kashenyi given in the WAHIS event appear to be inaccurate",,
43,Uganda,Western Region,Kabale District,,Northern Division,Upper Bugongi,29.995927,-1.232273,1,0,2016-03-02,,2016,March,1,0,HU,1,,1,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,,Captures acute case 1 (AC1),,
,Uganda,Western Region,Kabale District,,Rubaya Subcounty,Mushenyi,29.9868397,-1.4472344,1,0,2016-03-03,,2016,March,1,0,HU,1,,1,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,,Captures acute case 3 (AC3),,
44,Uganda,Western Region,Kabale District,,Southern Division,Rushaki,30.0052505,-1.2592782,1,0,2016-06-02,,2016,June,1,0,HU,1,,1,Shoemaker_etal_2019,https://doi.org/10.4269/ajtmh.18-0732,,Captures acute case 4 (AC4),,
,Uganda,Western Region,Kabale District,,,,,,0,0,2016-04-01,2016-04-30,2016,April,1,0,HU,10,,10,Nyakarahuka_etal_2018,https://doi.org/10.1371/journal.pntd.0006412,,Assuming this data is distinct from that reported by Shoemaker et al. 2019,,
45,Uganda,Western Region,Isingiro District,,Mbaare Subcounty,Katojo Central,30.9719902,-0.8682045,1,,2018-07-03,,2018,July,1,0,HU,3,,3,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
46,Uganda,Central Region,Kiboga District,,Kibiga Subcounty,Busakya,31.7522425,0.8918558,1,0,2017-11-14,,2017,November,1,0,HU,1,,1,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,,Start date information from Table 1,,
47,Uganda,Central Region,Mityana District,,,,,,0,0,2017-11-16,,2017,November,1,0,HU,1,,1,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,,No information given in paper regarding specific village location,,
48,Uganda,Western Region,Kiruhura District,,Kanyaryeru Subcounty,Rushororo,30.9425875,-0.5073751,1,0,2017-11-18,,2017,November,1,0,HU,4,,4,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,,Additional information: https://uniph.go.ug/rift-valley-fever-outbreak-caused-by-handling-a-dead-calf-kiruhura-district-2017-2018/,,
49,Uganda,Central Region,Kyankwanzi District,,Butemba Town Council,Bukwiri,31.596401,1.126574,1,,2017-12-14,2018-01-04,2017,December,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
50,Uganda,Central Region,Buikwe District,,Kawolo Subcounty,Vvumba,32.9,0.3,1,0,2018-01-07,,2018,January,1,0,HU,1,,1,Birungi_etal_2021,https://doi.org/10.1155/2021/8881191,,Village may also be known as Vumba,,
51,Uganda,Northern Region,Yumbe District,,Ariwa Subcounty,Ariwa II refugee camp zone 5,31.4071817,3.2428225,1,,2018-01-19,2018-02-07,2018,January,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
52,Uganda,Western Region,Rwampara District,,Bugamba Subcounty,Bugamba,30.48719,-0.709031,1,,2018-06-08,2018-08-24,2018,June,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
53,Uganda,Western Region,Ibanda District,,Bufunda Division,,30.53012239,-0.09016975,1,,2018-06-18,2018-07-20,2018,June,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
54,Uganda,Western Region,Kasese District,,Munkunyu Subcounty,,29.857045,0.01362694,1,,2018-06-20,2018-07-07,2018,June,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
55,Uganda,Western Region,Isingiro District,,Masha Subcounty,Kabare,30.718193,-0.664144,1,,2018-06-22,2018-07-20,2018,June,1,0,HU,4,,4,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,Village may also be known as Kabaare,,
56,Uganda,Central Region,Ssembabule District,,Lwebitakuli Subcounty,,31.34864797,-0.25844587,1,,2018-07-01,2018-08-01,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
57,Uganda,Western Region,Isingiro District,,Kashumba Subcounty,,30.9563515,-0.8892447,1,,2018-07-03,2018-08-24,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
58,Uganda,Western Region,Isingiro District,,Rugaaga Subcounty,Nakivale,30.94943771,-0.771338167,1,,2018-07-03,2018-07-20,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
59,Uganda,Western Region,Isingiro District,,Kashumba Subcounty,Kashumba,30.949304,-0.903845,1,,2018-07-05,2018-08-24,2018,July,1,0,HU,3,,3,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
60,Uganda,Central Region,Masaka District,,Kkingo Subcounty,Kasaana B,31.623002,-0.303224,1,,2018-07-09,2018-08-03,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
61,Uganda,Central Region,Mubende District,,Kigando Subcounty,Bubanda,31.26666682,0.266838647,1,,2018-07-10,2018-08-10,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
62,Uganda,Western Region,Rwampara District,,Bugamba Subcounty,Rurengye,30.503668,-0.729509,1,,2018-07-10,2018-07-30,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
63,Uganda,Western Region,Isingiro District,,Kikagate Subcounty,Kizibale,30.661807,-1.034086,1,,2018-07-14,2018-08-07,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
64,Uganda,Western Region,Sheema District,,Kagango Division,Kasozi,30.392695,-0.642397,1,,2018-07-19,2018-08-11,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
65,Uganda,Western Region,Isingiro District,,Kashumba Subcounty,Kashumba,30.948346,-0.903202,1,,2018-07-19,2018-08-14,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
66,Uganda,Western Region,Isingiro District,,Nyakitunda Subcounty,Rwamuhunga,30.738107,-0.924658,1,,2018-07-29,2018-08-19,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
68,Uganda,Western Region,Kiruhura District,,Sanga Town Council,Nyankumba,30.908201,-0.501662,1,,2018-08-07,2018-08-29,2018,August,1,0,HU,2,,2,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
69,Uganda,Central Region,Rakai District,,Kacheera Subcounty,Kakyera,31.18753748,-0.594695726,1,,2018-08-08,2018-08-24,2018,August,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
70,Uganda,Eastern Region,Namutumba District,,Busembatia Town Council,Kasabuli,33.623679,0.77964,1,,2018-07-25,2018-08-20,2018,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
,Uganda,Western Region,Isingiro District,,Kashumba Subcounty,Nakivale,30.929099,-0.7898187,1,0,2018-08-08,,2018,August,0,1,LS,,24,24,WAHIS,https://wahis.woah.org/#/in-event/2666/dashboard,1000104694,,,
,Uganda,Western Region,Mbarara District,,Kashare Subcounty,Mutonto,30.65,-0.383333,1,0,2018-08-12,,2018,August,0,1,LS,,12,12,WAHIS,https://wahis.woah.org/#/in-event/2666/dashboard,1000104698,Not using coordinates provided by WAHIS as these map to the city of Mbarara; Instead using coordinates for Mutonto itself,,
,Uganda,Central Region,Lyantonde District,,Lyantonde Town Council,Lyantonde,31.1535628,-0.4064197,1,0,2018-09-02,,2018,September,0,1,LS,,20,20,WAHIS,https://wahis.woah.org/#/in-event/2666/dashboard,1000104697,,,
71,Uganda,Western Region,Kiryandongo District,,Kiryandongo Subcounty,Mirima,32.15906437,1.897241385,1,,2019-03-03,2019-03-29,2019,March,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
72,Uganda,Western Region,Kasese District,,Central Division,Salute B,30.0653,0.179042,1,,2019-05-30,2019-06-30,2019,May,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
74,Uganda,Northern Region,Obongi District,,Itula Subcounty,Pasu,31.546031,3.481613,1,,2019-11-20,2019-12-10,2019,November,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,Village may also be known as Passu,,
75,Uganda,Western Region,Ntoroko District,,Nombe Subcounty,Kimara,30.413979,1.07504644,1,,2019-12-04,2019-12-18,2019,December,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
76,Uganda,Central Region,Kampala District,,Kira Division,Kasokozo,32.631177,0.42807,1,,2020-02-02,2020-03-20,2020,February,1,0,HU,2,,2,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
77,Uganda,Central Region,Kyankwanzi District,,Kyankwanzi Town Council,Kitegwa,31.882801,1.183394,1,,2020-02-12,2020-03-10,2020,February,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
78,Uganda,Central Region,Lake Victoria District,,Bussi Subcounty,Gulwe,32.366674,-0.015864,1,,2020-03-04,2020-03-24,2020,March,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,"Outbreak actually occurred on Kava Island, as indicated by the GPS coordinates",,
79,Uganda,Western Region,Kabale District,,Central Division,Kigongi A,29.995834,-1.245965,1,,2020-07-08,2020-08-14,2020,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
80,Uganda,Western Region,Kiruhura District,,Kenshunga Subcounty,Rushere,30.862896,-0.176444,1,,2020-07-20,2020-08-03,2020,July,1,0,HU,1,,1,Nyakarahuka_etal_2023,https://doi.org/10.4269/ajtmh.22-0410,,,,
81,Uganda,Central Region,Ssembabule District,,Lugusulu Subcounty,Kyebando,31.39609,-0.06351,1,0,2020-11-28,2020-12-31,2020,November,1,0,HU,2,,2,Aceng_etal_2023,https://doi.org/10.1186/s42522-023-00092-3,,,,
82,Uganda,Western Region,Kiruhura District,,Kinoni Subcounty,Kasaana,31.0700292,-0.0603661,1,0,2021-05-07,,2021,May,1,1,HU_LS,4,8,12,Cossaboom_etal_2022,https://doi.org/10.3201/eid2811.220364 ,,"Only counting recent, acute cases in Cossaboom et al. 2022; Additional data on livestock cases in: https://uniph.go.ug/rift-valley-fever-outbreak-kiruhura-district-uganda-june-2021/",,
83,Uganda,Western Region,Kyegegwa District,,Kabweza Kyegegwa Subcounty,Bukere,31.09482,0.38333,1,,2021-08-01,2021-08-20,2021,August,1,0,HU,1,,1,UNIPH,https://uniph.go.ug/descriptive-analysis-of-rift-valley-fever-outbreaks-uganda-2016-2023/,,,,
84,Uganda,Western Region,Kagadi District,,Ruteete Subcounty,Kihura,30.800612,1.0121967,1,,2022-01-02,2022-02-02,2022,January,1,1,HU_LS,2,1,3,UNIPH,https://uniph.go.ug/descriptive-analysis-of-rift-valley-fever-outbreaks-uganda-2016-2023/,,,,
85,Uganda,Western Region,Mbarara District,,Rubindi Subcounty,Kama,30.550191,-0.373517,1,,2022-05-10,2022-06-10,2022,May,1,0,HU,3,,3,UNIPH,https://uniph.go.ug/descriptive-analysis-of-rift-valley-fever-outbreaks-uganda-2016-2023/,,,,
86,Tanzania,Morogoro Region,Kilombero District,,,,36.2336,-8.2828,0,0,2011-05-01,2011-08-31,2011,May,0,1,LS,,9,9,Sumaye_etal_2013,https://doi.org/10.1371/journal.pntd.0002356,,Approximate location of outbreak determined by referencing Figure 1 in Sumaye et al. 2013,,
