OB_code,Cont,Reg,Cty_Dist,S_Cty,Villge,GPS_x,GPS_y,St_date,En_date,OB_Yr,OB_Mo,Landuse_changes,Presence_of_previous_ob,Pr_largeob,Pr_sporob,Pr_ngb.Arob,Hu_Cs,LS_Cs,OB_HU_LS,No_HU_cases,No_LS_cases,CASES,Type_cases,Predominant_LS_species,Size,Density_classification,Cattle_density,Sheep_density,Goat_density,Human_population_density,Host Density,Production_system,Annual_rainfall_3rd_yr_prior,Annual_rainfall_2nd_yr_prior,Annual_rainfall_prec_yr_to_OB,Annual_rainfall_OB_yr,Monthly_rainfall_OB_month,Monthly_rainfall_1st_month_prior_OB,Monthly_rainfall_2nd_month_prior_OB,Monthly_rainfall_3rd_month_prior_OB,Annual_temp_3rd_yr_prior_OB,Annual_temp_2nd_yr_prior_OB,Annual_temp_prec_yr_prior_OB,Annual_temp_OB_yr,Monthly_temp_OB_month,Monthly_temp_1st_month_prior_OB,Monthly_temp_2nd_month_prior_OB,Monthly_temp_3rd_month_prior_OB,Annual_humidity_3rd_yr_prior_OB,Annual_humidity_2nd_yr_prior_OB,Annual_humidity_prec_yr_prior_OB,Annual_humidity_OB_yr,Monthly_humidity_OB_month,Monthly_humidity_1st_month_prior_OB,Monthly_humidity_2nd_month_prior_OB,Monthly_humidity_3rd_month_prior_OB,Di_WLpark,Altitude,Elevation_below_1000,NDVI_change_1st_month_prior_OB,NDVI_change_2nd_month_prior_OB,NDVI_change_3rd_month_prior_OB,Average_change_NDVI,Soils,Elevation_Classification,OB_month_ndvi,First_month_prior_ndvi,Second_month_prior_ndvi,Third_month_prior_ndvi,Average_NDVI_to_OB,Positive_change_in_NDVI,Soils_new,Types_landuse_changes,Di_WLpark
24,Kenya,North_Eastern,Tana_River,Galole,Galole,39.50298485,-1.49518169,43262,43311,2018,June,1,1,1,1,1,0,1,LS,,1,1,1,Goats,small,Low,2.951817238,10.50155763,26.09979232,4,43.55316719,Extensive,454.161241,232.4424589,258.553586,629.0877043,21.18291283,9.659893036,137.8439484,183.9120789,34.34166686,34.76666705,34.52500057,34.20833365,32.20000076,33.29999924,35.10000229,35.79999924,63.88,59.12,60.38,64.5,70.25,78.12,77.19,68.31,71,175.6786962,1,-0.0919,-0.1163,-0.0284,-0.078866667,Planosols,Low,0.25985,0.35175,0.37615,0.28825,0.338716667,1,Clay soils,Industrial,71
25,Kenya,Nyanza,Siaya,Alego_Usonga,Uriri ,34.23274632,0.06161127,43245,43311,2018,June,,0,0,0,0,1,1,HU_LS,1,29,30,2,Cattle,large,Medium,127.8317308,44.81891026,44.09455128,374.5917515,591.3369439,Intensive,1923.151771,1314.828602,1801.092833,1739.188934,304.3605347,298.6231384,226.3654785,81.96324921,29.54166714,30.18333387,29.95833413,29.6666673,28.30000114,28.89999962,29.60000038,32.10000229,69.56,68.06,67.25,71.12,78.25,81.44,77.62,56.06,44,1249.152343,0,0.0257,0.2354,0.3591,0.206733333,Cambisols,High,0.7758,0.7501,0.5404,0.4167,0.569066667,2,Loam soils,,44
26,Kenya,Rift_Valley,Baringo,Baringo_south,Ilchamus,35.90894298,0.45068975,43280,43311,2018,June,1,1,1,1,1,0,1,LS,,2,2,1,Goats,small,High,60.46120059,75.42606149,201.4304539,34.85592215,372.1736381,Extensive,926.9456462,1018.783869,1235.591116,1583.176162,312.4493713,319.4022522,290.0791016,151.4466858,30.35000054,30.96666749,30.63333384,30.383334,29.60000038,29.80000114,30.30000114,30.80000114,59.25,61.94,61.25,66.44,80.88,78.44,77.56,66.81,27.4,972.1342084,1,,,,,other,Medium,,,,,,,Clay soils,Industrial,27.4
27,Kenya,Rift_Valley,Baringo,Baringo_south,Mogotio,35.86454551,0.08177533,43280,43311,2018,June,1,1,1,1,1,0,1,LS,,2,2,1,Goats,small,High,183.8854167,146.7013889,327.0451389,66.24300153,723.874946,Extensive,854.1982003,983.8936577,1101.72781,1414.152694,220.743988,279.8207397,319.7309875,167.4126587,25.90833394,26.55000067,26.25000048,25.97500054,24.70000076,25,25.80000114,26.80000114,76.12,80.75,77.81,82.81,88.44,86.94,87.44,84.12,35.6,1636.59768,0,-0.00165,0.0527,0.22255,0.0912,Cambisols,High,0.7316,0.73325,0.6789,0.50905,0.6404,1,Loam soils,Industrial,35.6
28,Kenya,Eastern,Meru,Igembe_Central,Igembe_Central,37.99716378,0.29989019,43288,43311,2018,June,,1,0,1,1,0,1,LS,,1,1,1,Goats,small,Medium,51.77690802,22.94911937,103.446184,366.5154776,544.6876889,Intensive,1794.529697,1108.978943,983.715642,1951.218702,37.97121429,33.24743271,208.7600708,639.9273682,27.47500022,27.47500022,27.15833362,26.89166705,25.10000038,25.60000038,25.89999962,26.89999962,55.44,55.5,53.94,60.06,60.5,68.38,74.88,78.06,15.6,1327.14974,0,-0.0979,-0.11715,-0.02985,-0.081633333,other,High,0.70245,0.80035,0.8196,0.7323,0.784083333,1,Loam soils,,15.6
29,Kenya,Central,Muranga,Kiharu,Gaturi ,37.11762082,-0.66082695,43494,43545,2019,January,1,1,0,1,1,1,1,HU_LS,3,4,7,2,Cattle,large,Medium,73.95539033,12.46468401,101.1710037,520.6198347,708.2109128,Intensive,1158.927948,958.5582695,2057.008699,1748.564457,32.45480347,136.931778,173.261322,89.32737732,27.53333362,27.29166714,26.99166711,27.52500041,28.30000114,27.60000038,27.70000076,28.89999962,78.38,76.12,82.44,77,77.06,84.69,84.88,82.62,26.8,1442.002715,0,-0.012,-0.02775,-0.01225,-0.017333333,Cambisols,High,0.71175,0.72375,0.7395,0.724,0.729083333,1,Loam soils,Mixed,26.8
30,Kenya,Central,Nyandarua,Ol_kalau,Rurii ,36.37819305,-0.21193184,43489,43545,2019,January,1,0,0,0,1,1,1,HU_LS,15,1,16,2,Sheep,small,Medium,67.48603352,92.01303538,29.73556797,402.9850746,592.2197115,Intensive,1015.955059,1052.730486,1652.038555,1175.969777,23.00709343,87.69384003,64.0918045,73.83343506,23.24166695,22.9750007,22.72500038,23.20833365,24.60000038,23.5,22.89999962,23.39999962,72.44,70.25,76.38,72.06,67.38,77.38,77.19,76.06,23.2,2422.470607,0,-0.02845,-0.0793,-0.1497,-0.085816667,other,High,0.5843,0.61275,0.6636,0.734,0.670116667,1,Clay soils,Industrial,23.2
31,Kenya,Central,Nyandarua,Ol_kalau,Karau,36.33845537,-0.31679704,43489,43545,2019,January,1,0,0,0,1,1,1,HU_LS,,1,1,1,Sheep,small,Medium,67.48603352,92.01303538,29.73556797,402.9850746,592.2197115,Intensive,943.0500622,1042.372625,1617.960861,1191.359264,18.05995178,86.87857056,68.50332642,87.65775299,23.24166695,22.9750007,22.72500038,23.20833365,24.60000038,23.5,22.89999962,23.39999962,82.44,75.81,83.69,85.69,78,83.69,83.94,82.5,31.2,2463.722111,0,-0.0711,-0.0581,0.00365,-0.04185,other,High,0.67945,0.75055,0.73755,0.6758,0.7213,1,Clay soils,Industrial,31.2
32,Kenya,Central,Nyandarua,Ndaragua,Shamata,36.552451,-0.19327003,43489,43545,2019,January,1,0,0,0,1,1,1,HU_LS,,3,3,1,Sheep,small,Medium,67.48603352,92.01303538,29.73556797,141.4137405,330.6483773,Intensive,1130.547287,1228.441757,1881.345055,1436.505945,35.65128708,116.2873306,100.5065155,98.43986511,20.92500003,20.64166737,20.38333384,20.87500016,22.39999962,21.60000038,20.80000114,21.10000038,72.44,70.25,76.38,72.06,67.38,77.38,77.19,76.06,8.35,2866.510328,0,-0.0033,-0.01985,0.00675,-0.005466667,Nitisols,High,0.80065,0.80395,0.8205,0.7939,0.806116667,1,Clay soils,Industrial,8.35
33,Kenya,North_Eastern,Isiolo,Garbatulla ,Sericho,38.97617779,0.88473423,44154,44273,2020,November,,1,1,1,1,1,1,HU_LS,12,24,36,2,Goats,small,High,35.50667365,128.7246794,159.0999738,10.07170269,333.4030296,Extensive,84.84576217,410.2920817,260.0563997,252.4919963,14.84595013,26.14289093,0.603422463,2.61E-08,33.80833435,33.49166743,33.97500102,33.95833429,33.20000076,35.10000229,34,32.70000076,49.19,53.75,53.19,56.12,61.81,47.44,49.5,51.62,80.8,304.6623324,1,0.0733,0.08825,0.07885,0.080133333,Planosols,Low,0.2424,0.1691,0.15415,0.16355,0.162266667,2,Clay soils,,80.8
34,Kenya,North_Eastern,Isiolo,Merti,Cherab ,38.85957924,1.52289113,44154,44273,2020,November,,1,1,1,1,1,1,HU_LS,,20,20,1,Goats,small,Low,9.662378696,28.35195216,27.781652,3.700312762,69.49629561,Extensive,114.0053863,378.3036433,254.9068658,278.1906442,18.55358505,17.67777824,0.593295217,2.93E-08,34.13333416,33.766668,34.24166711,34.26666768,33.60000229,35,34.10000229,33,48.69,53.94,53.25,55.75,64.19,47.25,48.62,50.44,124,271.9837293,1,0.1605,0.1657,0.1675,0.164566667,other,Low,0.3733,0.2128,0.2076,0.2058,0.208733333,2,Clay soils,,124
35,Kenya,North_Eastern,Garissa,Balambala ,Jarajara_Danyere,38.95400106,0.18441486,44154,44273,2020,November,,1,1,1,1,0,1,LS,,1,1,1,Goats,small,Medium,21.82403433,45.96443899,172.0797057,8.755734101,248.6239131,Extensive,166.3359941,421.1360672,447.1140616,307.8726233,32.6128006,28.53772163,2.151094437,3.92E-08,32.95833365,33.2000006,33.70000076,33.65833441,33,34.90000153,33.70000076,32.20000076,53.38,59.06,57.62,60.94,65.94,52.12,53.5,55.12,10.3,377.0423409,1,0.1899,0.2503,0.24555,0.228583333,other,Low,0.4839,0.294,0.2336,0.23835,0.255316667,2,Clay soils,,10.3
